Id,Flight_price,Destination,Outbound_departure_date,Outbound_departure_time,Outbound_duration,Outbound_stops,Inbound_departure_date,Inbound_departure_time,Inbound_duration,Inbound_stops,Link,Ticket_provider
Cancun_2019-12-21,1581.71,Cancun,2019-12-21,07:45:00,16:50,2,2019-12-27,06:45:00,19:25,2,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=NqagL4PVt5peZGMG189S4zg4dm39CEoR%2bV8UrnEXQEuJZ36mI8cG9Fi4G8qRAMyN&url=https%3a%2f%2fwww.skyscanner.net%2ftransport_deeplink%2f4.0%2fUS%2fen-US%2fEUR%2fxpus%2f2%2f17216.10803.2019-12-21%2c10803.17216.2019-12-27%2fair%2ftrava%2fflights%3fitinerary%3dflight%7c-32695%7c9436%7c17216%7c2019-12-21T07%3a45%7c11616%7c2019-12-21T08%3a55%7c70%7cMWRCB2%7cM%7c-%3bflight%7c-32695%7c875%7c11616%7c2019-12-21T10%3a05%7c18395%7c2019-12-21T12%3a05%7c480%7cMWRCB2%7cM%7c-%3bflight%7c-32695%7c1240%7c18395%7c2019-12-21T13%3a50%7c10803%7c2019-12-21T18%3a35%7c285%7cMWRCB2%7cM%7c-%2cflight%7c-32733%7c580%7c10803%7c2019-12-27T06%3a45%7c13993%7c2019-12-27T08%3a15%7c150%7cQWNCB4%7cL%7c-%3bflight%7c-32090%7c521%7c13993%7c2019-12-27T11%3a05%7c14385%7c2019-12-28T05%3a25%7c680%7cQWNCB4%7cQ%7c-%3bflight%7c-32090%7c2030%7c14385%7c2019-12-28T07%3a00%7c17216%7c2019-12-28T08%3a10%7c70%7cQWNCB4%7cQ%7c-%26carriers%3d-32695%2c-32733%2c-32090%26operators%3d-32090%3b-32695%3b-32695%2c-32733%3b-32090%3b-32090%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d1581.71%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26q_ids%3dxpus.17216.10803.191221.191227.1..E%7c-5134743543937452547%26q_sources%3dJACQUARD%26commercial_filters%3dfalse%26q_datetime_utc%3d2019-10-31T09%3a30%3a00%26pqid%3dtrue,Expedia
Cancun_2020-01-18,563.41,Cancun,2020-01-18,06:00:00,20:41,2,2020-01-24,14:47:00,16:58,2,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=NqagL4PVt5peZGMG189S4zg4dm39CEoR%2bV8UrnEXQEuJZ36mI8cG9Fi4G8qRAMyN&url=https%3a%2f%2fwww.skyscanner.net%2ftransport_deeplink%2f4.0%2fUS%2fen-US%2fEUR%2fklm1%2f2%2f17216.10803.2020-01-18%2c10803.17216.2020-01-24%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-32132%7c1818%7c17216%7c2020-01-18T06%3a00%7c9451%7c2020-01-18T07%3a25%7c85%7cRLWS60DE%7cR%7c-%3bflight%7c-32132%7c6020%7c9451%7c2020-01-18T09%3a15%7c12712%7c2020-01-18T12%3a09%7c534%7cRLWS60DE%7cR%7c-%3bflight%7c-32132%7c7900%7c12712%7c2020-01-18T16%3a29%7c10803%7c2020-01-18T20%3a41%7c252%7cRLWS60DE%7cR%7c-%2cflight%7c-32132%7c6987%7c10803%7c2020-01-24T14%3a47%7c10081%7c2020-01-24T19%3a07%7c260%7cVLWS60DE%7cV%7c-%3bflight%7c-32132%7c618%7c10081%7c2020-01-24T21%3a25%7c9451%7c2020-01-25T09%3a55%7c390%7cVLWS60DE%7cV%7c-%3bflight%7c-32132%7c1825%7c9451%7c2020-01-25T12%3a30%7c17216%7c2020-01-25T13%3a45%7c75%7cVLWS60DE%7cV%7c-%26carriers%3d-32132%26operators%3d-32132%3b-32385%3b-32385%2c-32385%3b-32132%3b-32132%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d563.41%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26q_ids%3dklm1.17216.10803.200118.200124.1..E%7c4843265848809500136%26q_sources%3dJACQUARD%26commercial_filters%3dfalse%26q_datetime_utc%3d2019-10-31T10%3a55%3a00%26pqid%3dfalse,KLM
Cancun_2020-02-22,750.6,Cancun,2020-02-22,10:15:00,18:30,2,2020-02-28,16:30:00,09:25,2,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=NqagL4PVt5peZGMG189S4zg4dm39CEoR%2bV8UrnEXQEuJZ36mI8cG9Fi4G8qRAMyN&url=https%3a%2f%2fwww.skyscanner.net%2ftransport_deeplink%2f4.0%2fUS%2fen-US%2fEUR%2fuair%2f2%2f17216.10803.2020-02-22%2c10803.17216.2020-02-28%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-31722%7c9213%7c17216%7c2020-02-22T10%3a15%7c11616%7c2020-02-22T11%3a25%7c70%7cLWNCT8%7cL%7c-%3bflight%7c-31722%7c906%7c11616%7c2020-02-22T13%3a00%7c15062%7c2020-02-22T15%3a45%7c585%7cLWNCT8%7cL%7c-%3bflight%7c-31722%7c1993%7c15062%7c2020-02-22T17%3a57%7c10803%7c2020-02-22T22%3a45%7c228%7cLWNCT8%7cL%7cECONOMY%2cflight%7c-31722%7c1667%7c10803%7c2020-02-28T16%3a30%7c15062%7c2020-02-28T19%3a20%7c230%7cLWNCT8%7cL%7c-%3bflight%7c-31722%7c636%7c15062%7c2020-02-29T06%3a00%7c11442%7c2020-02-29T08%3a59%7c119%7cLWNCT8%7cL%7c-%3bflight%7c-31722%7c962%7c11442%7c2020-02-29T18%3a05%7c17216%7c2020-03-01T07%3a55%7c470%7cLWNCT8%7cL%7cECONOMY%26carriers%3d-31722%26operators%3d-32090%3b-31722%3b-31722%2c-31722%3b-31722%3b-31722%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d750.60%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26q_ids%3duair.17216.10803.200222.200228.1..E%7c-2186716154357157370%26q_sources%3dJACQUARD%26commercial_filters%3dfalse%26q_datetime_utc%3d2019-10-30T20%3a24%3a00%26pqid%3dfalse,United
Rio de Janeiro_2019-12-21,1972.32,Rio de Janeiro,2019-12-21,06:00:00,16:15,2,2019-12-27,16:30:00,14:50,1,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=NqagL4PVt5peZGMG189S4zg4dm39CEoR%2bV8UrnEXQEuJZ36mI8cG9Fi4G8qRAMyN&url=https%3a%2f%2fwww.skyscanner.net%2ftransport_deeplink%2f4.0%2fUS%2fen-US%2fEUR%2fairf%2f2%2f17216.11824.2019-12-21%2c11824.17216.2019-12-27%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-32132%7c1818%7c17216%7c2019-12-21T06%3a00%7c9451%7c2019-12-21T07%3a25%7c85%7cMFFDE%7cM%7c-%3bflight%7c-32132%7c1229%7c9451%7c2019-12-21T08%3a10%7c10413%7c2019-12-21T09%3a35%7c85%7cMFFDE%7cM%7c-%3bflight%7c-32132%7c2409%7c10413%7c2019-12-21T10%3a40%7c11824%7c2019-12-21T18%3a15%7c695%7cMFFDE%7cM%7c-%2cflight%7c-32677%7c443%7c11824%7c2019-12-27T16%3a30%7c10413%7c2019-12-28T07%3a45%7c675%7cUHLRDE%7cU%7c-%3bflight%7c-32677%7c1734%7c10413%7c2019-12-28T09%3a35%7c17216%7c2019-12-28T11%3a20%7c105%7cUHLRDE%7cU%7c-%26carriers%3d-32132%2c-32677%26operators%3d-32132%3b-32132%3b-32677%2c-32677%3b-32677%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d1972.32%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26q_ids%3dairf.17216.11824.191221.191227.1..E%7c7286875582714888707%26q_sources%3dJACQUARD%26commercial_filters%3dfalse%26q_datetime_utc%3d2019-10-30T20%3a18%3a00%26pqid%3dfalse,Air France
Rio de Janeiro_2020-01-18,1059.8,Rio de Janeiro,2020-01-18,17:45:00,00:15,2,2020-01-24,18:55:00,18:00,2,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=NqagL4PVt5peZGMG189S4zg4dm39CEoR%2bV8UrnEXQEuJZ36mI8cG9Fi4G8qRAMyN&url=https%3a%2f%2fwww.skyscanner.net%2ftransport_deeplink%2f4.0%2fUS%2fen-US%2fEUR%2flan_%2f2%2f17216.11824.2020-01-18%2c11824.17216.2020-01-24%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-32115%7c8680%7c17216%7c2020-01-18T17%3a45%7c11616%7c2020-01-18T18%3a55%7c70%7cLEESE00V%7cL%7c-%3bflight%7c-32115%7c8071%7c11616%7c2020-01-18T20%3a20%7c11952%7c2020-01-19T04%3a30%7c730%7cLEESE00V%7cL%7c-%3bflight%7c-32115%7c4537%7c11952%7c2020-01-19T13%3a05%7c11824%7c2020-01-19T14%3a00%7c55%7cLEESE00V%7cY%7c-%2cflight%7c-32115%7c3185%7c11824%7c2020-01-24T18%3a55%7c11952%7c2020-01-24T20%3a10%7c75%7cSEESE00V%7cY%7c-%3bflight%7c-32115%7c8070%7c11952%7c2020-01-24T22%3a40%7c11616%7c2020-01-25T14%3a30%7c710%7cSEESE00V%7cS%7c-%3bflight%7c-32115%7c8661%7c11616%7c2020-01-25T15%3a45%7c17216%7c2020-01-25T16%3a55%7c70%7cSEESE00V%7cS%7c-%26carriers%3d-32115%26operators%3d-32090%3b-31222%3b-31222%2c-31222%3b-31222%3b-32090%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d1059.80%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26q_ids%3dlan_.17216.11824.200118.200124.1..E%7c-2234127494889072359%26q_sources%3dJACQUARD%26commercial_filters%3dfalse%26q_datetime_utc%3d2019-10-30T20%3a24%3a00%26pqid%3dfalse,LATAM Airlines
Rio de Janeiro_2020-02-22,694.18,Rio de Janeiro,2020-02-22,20:30:00,02:10,1,2020-02-28,16:30:00,14:50,1,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=NqagL4PVt5peZGMG189S4zg4dm39CEoR%2bV8UrnEXQEuJZ36mI8cG9Fi4G8qRAMyN&url=https%3a%2f%2fwww.skyscanner.net%2ftransport_deeplink%2f4.0%2fUS%2fen-US%2fEUR%2fklm1%2f2%2f17216.11824.2020-02-22%2c11824.17216.2020-02-28%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-32132%7c1834%7c17216%7c2020-02-22T20%3a30%7c9451%7c2020-02-22T22%3a10%7c100%7cNLLRDE%7cN%7c-%3bflight%7c-32132%7c705%7c9451%7c2020-02-23T10%3a45%7c11824%7c2020-02-23T18%3a40%7c715%7cNLLRDE%7cN%7c-%2cflight%7c-32677%7c443%7c11824%7c2020-02-28T16%3a30%7c10413%7c2020-02-29T07%3a45%7c675%7cELLRDE%7cE%7c-%3bflight%7c-32677%7c1734%7c10413%7c2020-02-29T09%3a35%7c17216%7c2020-02-29T11%3a20%7c105%7cELLRDE%7cE%7c-%26carriers%3d-32132%2c-32677%26operators%3d-32131%3b-32132%2c-32677%3b-32677%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d694.18%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26q_ids%3dklm1.17216.11824.200222.200228.1..E%7c8354221043671666462%26q_sources%3dJACQUARD%26commercial_filters%3dfalse%26q_datetime_utc%3d2019-10-31T08%3a13%3a00%26pqid%3dfalse,KLM
Buenos Aires_2019-12-21,1690.95,Buenos Aires,2019-12-21,15:10:00,22:40,1,2019-12-27,14:20:00,01:20,1,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=NqagL4PVt5peZGMG189S4zg4dm39CEoR%2bV8UrnEXQEuJZ36mI8cG9Fi4G8qRAMyN&url=https%3a%2f%2fwww.skyscanner.net%2ftransport_deeplink%2f4.0%2fUS%2fen-US%2fEUR%2fairf%2f2%2f17216.11453.2019-12-21%2c11453.17216.2019-12-27%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-32677%7c1235%7c17216%7c2019-12-21T15%3a10%7c10413%7c2019-12-21T16%3a55%7c105%7cUHLRDE%7cU%7c-%3bflight%7c-32677%7c228%7c10413%7c2019-12-21T23%3a40%7c11453%7c2019-12-22T09%3a50%7c850%7cUHLRDE%7cU%7c-%2cflight%7c-32677%7c229%7c11453%7c2019-12-27T14%3a20%7c10413%7c2019-12-28T07%3a40%7c800%7cKHLRDE%7cK%7c-%3bflight%7c-32677%7c1534%7c10413%7c2019-12-28T17%3a55%7c17216%7c2019-12-28T19%3a40%7c105%7cKHLRDE%7cK%7c-%26carriers%3d-32677%26operators%3d-32677%3b-32677%2c-32677%3b-32677%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d1690.95%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26q_ids%3dairf.17216.11453.191221.191227.1..E%7c-3012308942840715595%26q_sources%3dJACQUARD%26commercial_filters%3dfalse%26q_datetime_utc%3d2019-10-30T20%3a25%3a00%26pqid%3dfalse,Air France
Buenos Aires_2020-01-18,1201.76,Buenos Aires,2020-01-18,10:05:00,03:45,1,2020-01-24,14:20:00,17:00,1,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=NqagL4PVt5peZGMG189S4zg4dm39CEoR%2bV8UrnEXQEuJZ36mI8cG9Fi4G8qRAMyN&url=https%3a%2f%2fwww.skyscanner.net%2ftransport_deeplink%2f4.0%2fUS%2fen-US%2fEUR%2fairf%2f2%2f17216.11453.2020-01-18%2c11453.17216.2020-01-24%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-32677%7c1435%7c17216%7c2020-01-18T10%3a05%7c10413%7c2020-01-18T11%3a55%7c110%7cHLLRDE%7cH%7c-%3bflight%7c-32677%7c228%7c10413%7c2020-01-18T23%3a40%7c11453%7c2020-01-19T09%3a50%7c850%7cHLLRDE%7cH%7c-%2cflight%7c-32677%7c229%7c11453%7c2020-01-24T14%3a20%7c10413%7c2020-01-25T07%3a40%7c800%7cQLLRDE%7cQ%7c-%3bflight%7c-32677%7c1734%7c10413%7c2020-01-25T09%3a35%7c17216%7c2020-01-25T11%3a20%7c105%7cQLLRDE%7cQ%7c-%26carriers%3d-32677%26operators%3d-32677%3b-32677%2c-32677%3b-32677%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d1201.76%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26q_ids%3dairf.17216.11453.200118.200124.1..E%7c5808194216960630143%26q_sources%3dJACQUARD%26commercial_filters%3dfalse%26q_datetime_utc%3d2019-10-30T20%3a25%3a00%26pqid%3dfalse,Air France
Buenos Aires_2020-02-22,1201.24,Buenos Aires,2020-02-22,15:10:00,22:40,1,2020-02-28,16:30:00,17:15,1,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=NqagL4PVt5peZGMG189S4zg4dm39CEoR%2bV8UrnEXQEuJZ36mI8cG9Fi4G8qRAMyN&url=https%3a%2f%2fwww.skyscanner.net%2ftransport_deeplink%2f4.0%2fUS%2fen-US%2fEUR%2fairf%2f2%2f17216.11453.2020-02-22%2c11453.17216.2020-02-28%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-32677%7c1235%7c17216%7c2020-02-22T15%3a10%7c10413%7c2020-02-22T16%3a55%7c105%7cHLLRDE%7cH%7c-%3bflight%7c-32677%7c228%7c10413%7c2020-02-22T23%3a40%7c11453%7c2020-02-23T09%3a50%7c850%7cHLLRDE%7cH%7c-%2cflight%7c-32132%7c702%7c11453%7c2020-02-28T16%3a30%7c9451%7c2020-02-29T09%3a45%7c795%7cQLLRDE%7cQ%7c-%3bflight%7c-32132%7c1825%7c9451%7c2020-02-29T12%3a30%7c17216%7c2020-02-29T13%3a45%7c75%7cQLLRDE%7cQ%7c-%26carriers%3d-32677%2c-32132%26operators%3d-32677%3b-32677%2c-32132%3b-32132%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d1201.24%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26q_ids%3dairf.17216.11453.200222.200228.1..E%7c7465491603762073582%26q_sources%3dJACQUARD%26commercial_filters%3dfalse%26q_datetime_utc%3d2019-10-30T20%3a25%3a00%26pqid%3dfalse,Air France
